item_id,item_name,category_id,base_cost,base_price,is_active,introduced_date,demand_tier,wastage_tag,price_sensitivity_tag,seasonal_tag,promo_dependent_tag
M0001,Spring Rolls,C01,3.9,7.05,True,2023-03-25,High,Normal,Medium,False,False
M0002,Chicken Wings,C01,8.48,0.0,True,2024-05-06,High,Normal,Low,False,False
M0003,Loaded Nachos,C01,9.38,31.6,True,2023-01-24,High,Normal,High,False,False
M0004,Garlic Bread,C01,5.62,15.93,True,2022-04-12,Medium,Normal,Medium,False,False
M0005,Bruschetta,C01,3.36,13.03,True,2024-01-09,Low,Normal,High,False,False
M0006,Mozzarella Sticks,C01,10.88,28.1,True,2021-01-16,High,Normal,High,False,False
M0007,Onion Rings,C01,6.31,7.77,True,2020-09-15,Medium,Normal,Low,False,False
M0008,Hummus Platter,C01,7.93,10.19,True,2025-07-18,Low,Normal,Medium,False,False
M0009,Spinach Dip,C01,8.51,14.34,True,2021-04-29,High,High,High,False,False
M0010,Fried Calamari,C01,8.35,27.34,True,2021-01-23,High,Normal,Low,False,True
M0011,Chicken Samosas,C01,5.83,7.74,True,2024-09-08,Low,Normal,Low,False,False
M0012,Potato Skins,C01,4.65,14.79,True,2021-09-01,Medium,Normal,Low,False,True
M0013,Spicy Spring Rolls,C01,5.12,8.62,True,2023-03-19,Low,Normal,High,False,False
M0014,Classic Chicken Wings,C01,5.05,6.49,True,2023-09-04,Medium,Normal,Medium,False,False
M0015,Family-Size Loaded Nachos,C01,6.68,25.03,True,2024-01-09,Low,Normal,Medium,False,False
M0016,Chef's Special Garlic Bread,C01,2.92,6.03,True,2024-09-16,Medium,High,Medium,False,False
M0017,Grilled-Style Bruschetta,C01,4.17,7.5,True,2024-05-17,Low,Normal,Low,False,False
M0018,Spicy Mozzarella Sticks,C01,10.87,17.27,True,2021-04-20,Medium,Normal,Medium,True,False
M0019,Chicken Corn Soup,C02,6.19,8.39,True,2023-09-11,High,Normal,Low,True,False
M0020,Hot & Sour Soup,C02,5.1,11.02,True,2025-01-03,High,Normal,Medium,False,True
M0021,Tomato Basil Soup,C02,6.42,8.21,True,2025-01-23,Low,Normal,Medium,False,False
M0022,Cream of Mushroom Soup,C02,8.88,16.69,True,2023-06-14,High,High,Low,False,False
M0023,Lentil Soup,C02,6.4,9.99,True,2025-01-14,Low,Normal,Low,False,False
M0024,Seafood Chowder,C02,3.47,4.61,True,2023-07-27,Low,Normal,High,True,False
M0025,Chicken Broth,C02,2.56,3.4,True,2020-10-30,Medium,Normal,Low,False,False
M0026,Spicy Chicken Corn Soup,C02,5.23,7.99,True,2023-08-27,Low,Normal,Low,False,False
M0027,Classic Hot & Sour Soup,C02,3.58,5.69,True,2022-03-13,Medium,Normal,Low,False,False
M0028,Family-Size Tomato Basil Soup,C02,9.76,26.16,True,2024-02-06,Medium,Normal,Medium,False,False
M0029,Chef's Special Cream of Mushroom Soup,C02,5.73,6.86,True,2021-01-21,Medium,Normal,Low,False,False
M0030,Grilled-Style Lentil Soup,C02,6.76,8.04,True,2025-05-04,Low,Normal,Low,False,False
M0031,Spicy Seafood Chowder,C02,5.89,9.52,True,2021-06-28,Low,Normal,High,False,False
M0032,Caesar Salad,C03,10.5,20.67,True,2023-01-03,High,Normal,Low,False,False
M0033,Greek Salad,C03,12.59,31.05,True,2022-07-29,Medium,Normal,Medium,False,False
M0034,Quinoa Bowl,C03,11.82,35.84,True,2024-11-18,Low,Normal,Medium,False,False
M0035,Garden Salad,C03,10.57,28.37,True,2023-06-17,Low,Normal,Medium,True,False
M0036,Beetroot Salad,C03,2.91,5.1,True,2025-02-20,Medium,Normal,Medium,True,True
M0037,Fattoush,C03,11.96,18.87,True,2022-06-27,High,Normal,Low,False,False
M0038,Grilled Chicken Salad,C03,3.48,4.25,True,2023-12-09,Medium,Normal,Low,False,False
M0039,Stuffed Bell Peppers,C03,8.44,12.86,True,2020-12-06,Low,Normal,Medium,True,True
M0040,Spicy Caesar Salad,C03,13.57,38.95,True,2022-01-21,Medium,Normal,High,False,False
M0041,Classic Greek Salad,C03,8.82,20.94,True,2022-02-11,Medium,Normal,Low,False,False
M0042,Family-Size Quinoa Bowl,C03,9.53,15.93,True,2020-10-01,High,Normal,Low,True,True
M0043,Chef's Special Garden Salad,C03,3.03,3.67,True,2023-07-22,Low,Normal,Medium,True,False
M0044,Grilled-Style Beetroot Salad,C03,7.94,10.64,True,2022-05-06,Medium,Normal,Low,False,True
M0045,Spicy Fattoush,C03,6.81,14.35,True,2024-07-03,Medium,Normal,Low,False,True
M0046,Grilled Salmon,C04,9.89,11.86,True,2021-08-19,Medium,Normal,Medium,False,False
M0047,Beef Steak,C04,7.77,14.87,True,2025-03-11,Low,Normal,Low,False,False
M0048,Chicken Karahi,C04,3.3,4.18,True,2025-04-29,High,High,Low,True,False
M0049,Lamb Chops,C04,12.22,14.62,True,2021-11-15,Low,Normal,High,False,False
M0050,Butter Chicken,C04,12.59,30.79,True,2024-04-21,Low,Normal,High,False,False
M0051,Fish & Chips,C04,13.89,23.06,True,2021-03-31,Medium,Normal,Medium,False,False
