promotion_id,promotion_name,scope,target_id,discount_pct,start_date,end_date,channel,is_trap_flag
PROMO001,Weekend Feast Deal,Storewide,ALL,0.2,2025-10-24,2025-11-11,Website/App,False
PROMO002,Buy 1 Get 1 Burger,Storewide,ALL,0.37,2026-04-09,2026-04-26,Website/App,True
PROMO003,Ramadan Iftar Special,Item,M0033,0.26,2026-01-26,2026-02-12,Takeaway,True
PROMO004,Summer Cooler Combo,Item,M0129,0.15,2025-09-20,2025-10-10,Dine-in,False
PROMO005,Family Bundle Offer,Category,C05,0.28,2026-05-22,2026-06-03,Third-Party Delivery,True
PROMO006,Lunch Hour Discount,Storewide,ALL,0.12,2025-10-22,2025-11-10,Takeaway,False
PROMO007,App-Only Flash Sale,Item,M0069,0.1,2025-09-06,2025-09-12,All Channels,False
PROMO008,Loyalty Member Discount,Storewide,ALL,0.11,2025-12-28,2026-01-02,Third-Party Delivery,False
PROMO009,New Year Mega Deal,Category,C07,0.12,2026-01-10,2026-01-23,Dine-in,False
PROMO010,Mid-Week Pizza Deal,Category,C11,0.1,2025-09-22,2025-09-29,All Channels,False
PROMO011,Delivery Free Shipping Week,Storewide,ALL,0.1,2026-01-22,2026-02-01,All Channels,False
PROMO012,Student Discount Days,Item,M0151,0.27,2026-02-08,2026-02-18,Third-Party Delivery,True
